hue_deg,max_chroma,a,b,L,R,G,B,a_smooth,b_smooth,L_smooth,hex_smooth
80.7053658154,144.481162013,23.3353547831,142.584246654,85.1625242834,1.0,0.754827719658,0.0,23.4141990707,142.573498472,85.1393523893,#FFC000
81.9281595505,144.934424448,20.3509152078,143.498528356,86.1015201124,1.0,0.773630128832,0.0,20.8248795704,143.329739569,85.9492236717,#FFC500
82.5312275453,145.12500341,18.8641914284,143.893741686,86.5606979863,1.0,0.782827777877,0.0,18.1999154757,144.028410739,86.7616438661,#FFC900
83.7205043877,145.422824174,15.9061443611,144.550310834,87.4578195223,1.0,0.800808497643,0.0,15.9232632973,144.541538797,87.440159032,#FFCC00
84.8872599314,145.593505594,12.9746774335,145.014229014,88.3257964497,1.0,0.81822510914,0.0,13.6407575151,144.959980205,88.1229231405,#FFD000
85.4622480003,145.625464775,11.5212961431,145.168990236,88.7484834132,1.0,0.826716516874,0.0,11.5801282863,145.18709048,88.7294287541,#FFD300
86.0317088172,145.619062499,10.0774780925,145.269941139,89.1634014498,1.0,0.835059866446,0.0,9.39513566048,145.314996368,89.4007082987,#FFD600
87.1447266635,145.483224399,7.24699905162,145.302613832,89.9623112041,1.0,0.851153232835,0.0,7.17185737985,145.293490206,90.0607174875,#FFD900
88.2242172135,145.167431176,4.49849114334,145.097714151,90.7196810934,1.0,0.866453207859,0.0,4.94411065539,145.060623929,90.5684506478,#FFDC00
89.0175878502,144.777529666,2.48228117715,144.756248143,90.9990330819,1.0,0.874579618576,0.0,2.50458668198,144.7287483,90.9473495664,#FFDF00
90.0067863336,144.240891123,-0.0170844487528,144.240890111,91.2056508197,1.0,0.883021546296,0.0,-0.147593428611,144.265005587,91.1172776893,#FFE100
91.0008924652,143.722202933,-2.51053664099,143.700274257,90.8920936246,1.0,0.885628004613,0.0,-2.63460433046,143.713744467,90.9375182491,#FFE200
92.0782694326,143.202698947,-5.19320160631,143.108503041,90.5486111961,1.0,0.888225507149,0.0,-5.04197564704,143.133359278,90.6025099863,#FFE300
93.018544995,142.78484609,-7.51893307412,142.586738227,90.2453968073,1.0,0.890303059685,0.0,-7.61269969251,142.554750469,90.1808745337,#FFE300
94.1855359644,142.310978032,-10.3867699091,141.931425271,89.8644007324,1.0,0.892643065123,0.0,-10.1684220455,141.980518361,89.920097103,#FFE400
95.0025300219,142.008368207,-12.3830916273,141.467436828,89.5945063795,0.98881330061,0.894128439652,0.0,-12.6503328325,141.403884383,89.778141322,#FCE500
96.1500000103,141.629747791,-15.1730433691,140.814644885,89.7504202158,0.972568923406,0.90195163166,0.0,-15.1003699959,140.827997975,89.6335706339,#F8E600
97.1551226634,141.341938058,-17.6050025685,140.241246923,89.4163590978,0.952179761968,0.903483921894,0.0,-17.510673485,140.254569666,89.4486414225,#F3E600
98.0659921066,141.076410714,-19.7949360851,139.680758035,89.6423138964,0.940414936909,0.910593083084,0.0,-19.8970654278,139.681666306,89.2428606564,#EEE700
99.1193008569,140.884488332,-22.3288786316,139.103775044,88.7520190923,0.911902318392,0.905988300536,0.0,-22.2805034549,139.102267381,88.9998131982,#E9E800
100.007287233,140.722118869,-24.4537653057,138.581124621,88.4461949649,0.893468957342,0.906910386269,0.0,-24.510791562,138.560503522,88.7677002334,#E5E800
101.030363383,140.561576118,-26.8935301209,137.964831455,88.6393513254,0.879012834816,0.913905342168,0.0,-26.6421271819,138.036385444,88.4619893184,#E0E800
102.000094206,140.45777879,-29.2030401726,137.388391312,88.3020484175,0.858511047323,0.914676581353,0.0,-29.1990654438,137.392110525,88.1587002556,#DAE900
103.019967326,140.381310423,-31.6265902635,136.77233311,87.9414778506,0.836679341835,0.915317316559,0.0,-31.9327673,136.689736481,87.8474726831,#D4E900
104.088085337,140.336221357,-34.1597057735,136.115280282,87.5567377418,0.813480660873,0.915796780384,0.0,-34.6400500717,135.983463303,87.645652904,#CFEA00
